Dedy Aulia,b'@CNNIndonesia Uang dana pemilu aja pikirin'
apak.apak2,"b'RT @republikaonline: Menurut JK, Ahokers tidak paham demokrasi karena jagoannya kalah pemilu dan marah. https://t.co/zngPcTQsiU'"
Bambang Sumitra,b'RT @golkarpedia: Ngurah Setiawan Optimis Golkar Karangasem Raih 13 Kursi DPRD Di Pemilu 2024\n#airlanggahartarto #airlanggapemersatu #airlan\xe2\x80\xa6'
No Pino Kio,"b'RT @Utero2022: Dr. KH. Haedar Nashir :\n\nPak Jokowi, negara seharusnya jadi penyelenggara pemilu bukan pemain, apalagi terlibat kontestasi P\xe2\x80\xa6'"
Astha Brata,b'Pemilu memang harus menjadi ajang kontestasi gagasan bukan kontestasi pencitraan. semoga berjaya @NasDem https://t.co/j6tUVNKOdR'
Bambang Sumitra,"b'RT @golkarpedia: Airlangga Hartarto Tegaskan Peran Kosgoro 1957 Di Pemilu 2024, Wajib Perkuat Basis Dukungan Partai\n#airlanggahartarto #air\xe2\x80\xa6'"
Bambang Brantalaras,b'RT @golkarpedia: Ngurah Setiawan Optimis Golkar Karangasem Raih 13 Kursi DPRD Di Pemilu 2024\n#airlanggahartarto #airlanggapemersatu #airlan\xe2\x80\xa6'
RFC #81  CIBITUNG,b'RT @UyokBack: Kabar baiknya..\nJokowi sudah wanti-wanti jangan ada yang adu domba jelang pemilu.\n\nKabar buruknya..\nYang ngomong Jokowi.'
Bambang Brantalaras,"b'RT @golkarpedia: Airlangga Hartarto Tegaskan Peran Kosgoro 1957 Di Pemilu 2024, Wajib Perkuat Basis Dukungan Partai\n#airlanggahartarto #air\xe2\x80\xa6'"
Ishim73,b'@__AnakKolong Yg harus kau kritik itu ri 1 kok tambah gak karu2an. Kan itulah tujuannya pemilu lgs pilih presiden.'
No Pino Kio,"b'RT @89Kul: itu ""Relawan"" fungsinya apa \xe2\x81\x89\xef\xb8\x8f\nbukankah hanya menimbulkan efek ""polarisasi"" pd masyarakat \xe2\x81\x89\xef\xb8\x8f\nSeorang ""Presiden"" Gak Paham ""Tenta\xe2\x80\xa6'"
